city,sum,lat,lng
"Capitol Heights, Maryland",14,38.8851122,-76.9158068
"Carbondale, Missouri",2,39.432027,-107.137714
"Cardiff-By-The-Sea, California",2,33.0208265,-117.2788973
"Carlisle, Pennsylvania",146,40.2010241,-77.20027449999999
"Carlsbad, California",144,33.1580933,-117.3505939
"Carlstadt, New Jersey",10,40.8403778,-74.0906974
"Carlton, Georgia",4,34.0431675,-83.0337558
"Carmel, Indiana",104,39.978371,-86.1180435
"Carmichael, California",1288,38.617127,-121.3282843
"Carol City, Florida",90,25.940556,-80.2455912
"Carol Stream, Illinois",872,41.91252859999999,-88.13479269999999
"Carolina, Puerto Rico",4,18.3803255,-65.9626213
"Carona, California",8,33.8752935,-117.5664384
"Carpentersville, Illinois",4,42.1211364,-88.2578582
"Carpinteria, California",10,34.39888380000001,-119.5184564
"Carrboro, North Carolina",1002,35.9101438,-79.0752895
"Carroll, Iowa",4,42.0655986,-94.86727929999999
"Carrollton, Maryland",226,39.5570469,-76.91692379999999
"Carrolton, Texas",8,32.9756415,-96.8899636
"Carson, California",32,33.8316745,-118.281693
"Carter Lake, Iowa",18,41.29055340000001,-95.9180689
"Carteret, New Jersey",22,40.5773266,-74.2282005
"Cartersville, Georgia",2,34.1650972,-84.7999382
"Carterville, Missouri",8,37.1492253,-94.44300319999999
"Cary, North Carolina",186,35.79154,-78.7811169
"Casa De Oro, California",6,32.7489409,-116.98086
"Casa Grande, Arizona",6,32.9110027,-111.7733902
"Cascade, Michigan",6,42.9024636,-85.49462489999999
"Casper, Wyoming",2,42.8500769,-106.3251749
"Casselberry, Florida",118,28.677775,-81.3278455
"Castle Rock, Colorado",10,39.3722121,-104.8560902
"Castle Shannon, Pennsylvania",10,40.3647917,-80.02227529999999
"Castro Valley, California",156,37.6940973,-122.0863522
"Cathedral City, California",46,33.7805388,-116.4668036
"Catonsville, Maryland",260,39.2720509,-76.73191609999999
"Caulfield, Missouri",16,36.6145065,-92.104877
"Cave Creek, Arizona",14,33.8333716,-111.9507042
"Cave Spring, Virginia",4,37.2276369,-80.0128158
"Cayce, South Carolina",36,33.96570910000001,-81.0739827
"Cedar Grove, New Jersey",4,40.8517876,-74.2290319
"Cedar Hill, Texas",82,32.5884689,-96.9561152
"Cedar Park, Texas",48,30.505198,-97.8202888
"Cedar Rapids, Iowa",646,41.9778795,-91.6656232
"Centennial, Colorado",74,39.5807452,-104.8771726
"Center, Texas",8,31.7954512,-94.1790862
"Center Line, Michigan",40,42.4850362,-83.0277002
"Centerdale, Rhode Island",8,41.8558649,-71.4789505
"Centereach, New York",12,40.8584316,-73.0995539
"Centertown, Kentucky",14,37.4172684,-86.99610609999999
"Centerville, Minnesota",118,45.16302230000001,-93.0557757
"Central, South Carolina",10,34.7242749,-82.7812526
"Central Falls, Rhode Island",18,41.8906553,-71.3922785
